date, pm25, pm10, o3, no2, so2, co
2025/6/5, 52, 31, , 5, 1, 3
2025/6/6, 49, 20, , 6, 1, 4
2025/6/7, 47, 20, , 3, 1, 3
2025/6/8, 47, 15, , 5, 1, 3
2025/6/9, 36, 24, , 7, 1, 3
2025/6/10, 50, 25, , 4, 1, 3
2025/6/11, 47, 27, , 4, 1, 3
2025/6/12, 39, 20, , 3, , 3
2025/6/13, 23, 20, , 1, , 2
2025/6/14, 26, 26, , , , 2
2025/6/15, 42, 21, , 2, , 2
2025/6/16, 40, 15, , 6, 1, 3
2025/6/17, 28, 19, , 6, 1, 3
2025/6/18, 36, 15, , 6, 2, 3
2025/6/19, 25, 13, , 4, 1, 2
2025/6/20, 21, 10, , 1, 1, 2
2025/6/21, 17, 16, , 2, 1, 
2025/6/22, 38, 23, , 5, 1, 3
2025/6/23, 50, 22, , 4, 1, 3
2025/6/24, 42, 15, , 7, 2, 4
2025/6/25, 30, 11, , 3, 1, 3
2025/6/26, 21, 11, , 1, , 2
2025/6/27, 25, 12, , 3, , 2
2025/6/28, 17, 12, , 4, 1, 2
2025/6/29, 22, 18, , 6, 1, 2
2025/6/30, 36, 19, , 4, , 2
2025/1/1, 87, 59, , 9, 1, 4
2025/1/2, 94, 51, , 6, 1, 3
2025/1/3, 73, 42, , 3, , 2
2025/1/4, 60, 45, , 10, 1, 3
2025/1/5, 72, 57, , 12, 1, 4
2025/1/6, 102, 61, , 4, 1, 5
2025/1/7, 90, 54, , 5, 1, 3
2025/1/8, 78, 52, , 7, 1, 3
2025/1/9, 85, 56, , 8, 1, 3
2025/1/10, 91, 35, , 5, 1, 2
2025/1/11, 56, 49, , 12, 1, 2
2025/1/12, 78, 49, , 8, 1, 2
2025/1/13, 72, 49, , 8, 1, 2
2025/1/14, 77, 73, , 12, 1, 4
2025/1/15, 129, 67, , 8, 1, 4
2025/1/16, 116, 54, , 9, 3, 3
2025/1/17, 85, 45, , 11, 1, 3
2025/1/18, 72, 47, , 13, 1, 4
2025/1/19, 91, 39, , 10, 1, 3
2025/1/20, 73, 53, , 8, 1, 5
2025/1/21, 102, 48, , 10, , 4
2025/1/22, 90, 49, , 11, , 5
2025/1/23, 105, 23, , 5, , 3
2025/1/24, 54, 26, , 3, , 4
2025/1/25, 54, 30, , 4, , 5
2025/1/26, 56, 20, , 3, , 4
2025/1/27, 48, 33, , 3, 1, 4
2025/1/28, 68, 53, , 3, 2, 4
2025/1/29, 111, 32, , 2, , 3
2025/1/30, 65, 32, , 6, 1, 4
2025/1/31, 71, 34, , 4, , 3
2025/2/1, 76, 16, , , , 3
2025/2/2, 48, 14, , 1, , 3
2025/2/3, 45, 36, , , , 4
2025/2/4, 90, 39, , 1, 1, 3
2025/2/5, 94, 31, , 1, 1, 3
2025/2/6, 74, 12, , 2, , 3
2025/2/7, 43, 45, , 2, , 
2025/2/8, 71, 33, , 2, 1, 2
2025/2/9, 53, 31, , 4, 1, 3
2025/2/10, 59, 33, , 6, 1, 3
2025/2/11, 69, 43, , 13, , 6
2025/2/12, 94, 35, , 7, , 6
2025/2/13, 87, 23, , 5, , 4
2025/2/14, 60, 28, , 7, , 3
2025/2/15, 67, 43, , 6, , 4
2025/2/16, 94, 48, , 6, 1, 5
2025/2/17, 97, 49, , 6, , 3
2025/2/18, 84, 31, , 5, , 2
2025/2/19, 58, 28, , 7, , 3
2025/2/20, 58, 20, , 7, , 3
2025/2/21, 41, 22, , 6, , 4
2025/2/22, 47, 14, , 5, , 3
2025/2/23, 37, 35, , 6, , 4
2025/2/24, 77, 43, , 7, , 4
2025/2/25, 81, 53, , 14, , 6
2025/2/26, 113, 58, , 16, 1, 6
2025/2/27, 121, 56, , 15, 1, 6
2025/2/28, 126, 40, , 13, 1, 4
2025/3/1, 90, 16, , 6, , 2
2025/3/2, 35, 19, , 5, 1, 2
2025/3/3, 29, 22, , 9, , 4
2025/3/4, 49, 13, , 9, , 5
2025/3/5, 38, 12, , 7, , 3
2025/3/6, 34, 25, , 6, , 3
2025/3/7, 55, 34, , 9, 1, 3
2025/3/8, 72, 31, , 5, 1, 2
2025/3/9, 59, 35, , 10, 1, 3
2025/3/10, 65, 42, , 11, , 3
2025/3/11, 78, 30, , 10, , 3
2025/3/12, 69, 27, , 7, , 3
2025/3/13, 56, 31, , 9, , 4
2025/3/14, 65, 28, , 9, , 4
2025/3/15, 64, 15, , 7, , 4
2025/3/16, 37, 47, , 7, 1, 3
2025/3/17, 86, 40, , 9, 1, 3
2025/3/18, 84, 40, , 7, 1, 3
2025/3/19, 74, 44, , 7, 1, 
2025/3/20, 77, 38, , 10, 1, 2
2025/3/21, 70, 41, , 13, 2, 3
2025/3/22, 83, 47, , 15, 2, 4
2025/3/23, 95, 50, , 12, 2, 4
2025/3/24, 101, 49, , 10, 1, 4
2025/3/25, 103, 34, , 6, , 3
2025/3/26, 70, 30, , 5, , 2
2025/3/27, 62, 47, , 8, , 3
2025/3/28, 71, 26, , 6, , 3
2025/3/29, 44, 8, , 3, , 
2025/3/30, 16, 7, , 4, , 2
2025/3/31, 16, 15, , 7, 1, 3
2024/10/1, 30, 8, , , , 1
2024/10/2, 13, 12, , , , 
2024/10/3, 33, 12, , 1, , 
2024/10/4, 30, 17, , 2, , 3
2024/10/5, 41, 19, , 1, , 2
2024/10/6, 38, 21, , 2, , 2
2024/10/7, 47, 16, , 3, , 2
2024/10/8, 32, 33, , 2, , 3
2024/10/9, 61, 43, , 4, 1, 4
2024/10/10, 85, 41, , 3, , 3
2024/10/11, 79, 35, , 2, , 2
2024/10/12, 66, 27, , 1, , 1
2024/10/13, 55, 30, , 1, , 1
2024/10/14, 64, 31, , 4, , 2
2024/10/15, 60, 29, , 2, , 1
2024/10/16, 51, 34, , 2, , 2
2024/10/17, 64, 33, , 2, , 2
2024/10/18, 70, 31, , 3, , 2
2024/10/19, 66, 21, , 2, , 2
2024/10/20, 36, 22, , 2, , 3
2024/10/21, 49, 25, , 3, , 2
2024/10/22, 52, 38, , 2, , 3
2024/10/23, 60, 35, , 1, , 2
2024/10/24, 55, 21, , 1, , 
2024/10/25, 38, 25, , 7, , 3
2024/10/26, 55, 31, , 8, , 3
2024/10/27, 60, 25, , 2, , 2
2024/10/28, 45, 33, , 2, , 3
2024/10/29, 63, 35, , 2, , 3
2024/10/30, 72, 17, , , , 2
2024/10/31, 22, 20, , 4, , 3
2024/11/1, 47, 16, , 2, , 3
